filepath,department
Evaluation/dataset/Finance/finance_1.txt,Finance
Evaluation/dataset/Finance/finance_2.txt,Finance
Evaluation/dataset/Finance/finance_3.txt,Finance
Evaluation/dataset/Finance/finance_4.txt,Finance
Evaluation/dataset/Finance/finance_5.txt,Finance
Evaluation/dataset/Finance/finance_6.txt,Finance
Evaluation/dataset/Finance/finance_7.txt,Finance
Evaluation/dataset/Finance/finance_8.txt,Finance
Evaluation/dataset/Finance/finance_9.txt,Finance
Evaluation/dataset/Finance/finance_10.txt,Finance
Evaluation/dataset/Finance/finance_11.txt,Finance
Evaluation/dataset/Finance/finance_12.txt,Finance
Evaluation/dataset/Finance/finance_13.txt,Finance
Evaluation/dataset/Finance/finance_14.txt,Finance
Evaluation/dataset/Finance/finance_15.txt,Finance
Evaluation/dataset/HR/hr_1.txt,HR
Evaluation/dataset/HR/hr_2.txt,HR
Evaluation/dataset/HR/hr_3.txt,HR
Evaluation/dataset/HR/hr_4.txt,HR
Evaluation/dataset/HR/hr_5.txt,HR
Evaluation/dataset/HR/hr_6.txt,HR
Evaluation/dataset/HR/hr_7.txt,HR
Evaluation/dataset/HR/hr_8.txt,HR
Evaluation/dataset/HR/hr_9.txt,HR
Evaluation/dataset/HR/hr_10.txt,HR
Evaluation/dataset/HR/hr_11.txt,HR
Evaluation/dataset/HR/hr_12.txt,HR
Evaluation/dataset/HR/hr_13.txt,HR
Evaluation/dataset/HR/hr_14.txt,HR
Evaluation/dataset/HR/hr_15.txt,HR
Evaluation/dataset/Legal/legal_1.txt,Legal
Evaluation/dataset/Legal/legal_2.txt,Legal
Evaluation/dataset/Legal/legal_3.txt,Legal
Evaluation/dataset/Legal/legal_4.txt,Legal
Evaluation/dataset/Legal/legal_5.txt,Legal
Evaluation/dataset/Legal/legal_6.txt,Legal
Evaluation/dataset/Legal/legal_7.txt,Legal
Evaluation/dataset/Legal/legal_8.txt,Legal
Evaluation/dataset/Legal/legal_9.txt,Legal
Evaluation/dataset/Legal/legal_10.txt,Legal
Evaluation/dataset/Legal/legal_11.txt,Legal
Evaluation/dataset/Legal/legal_12.txt,Legal
Evaluation/dataset/Legal/legal_13.txt,Legal
Evaluation/dataset/Legal/legal_14.txt,Legal
Evaluation/dataset/Legal/legal_15.txt,Legal
Evaluation/dataset/Security/security_1.txt,Security
Evaluation/dataset/Security/security_2.txt,Security
Evaluation/dataset/Security/security_3.txt,Security
Evaluation/dataset/Security/security_4.txt,Security
Evaluation/dataset/Security/security_5.txt,Security
Evaluation/dataset/Security/security_6.txt,Security
Evaluation/dataset/Security/security_7.txt,Security
Evaluation/dataset/Security/security_8.txt,Security
Evaluation/dataset/Security/security_9.txt,Security
Evaluation/dataset/Security/security_10.txt,Security
Evaluation/dataset/Security/security_11.txt,Security
Evaluation/dataset/Security/security_12.txt,Security
Evaluation/dataset/Security/security_13.txt,Security
Evaluation/dataset/Security/security_14.txt,Security
Evaluation/dataset/Security/security_15.txt,Security
Evaluation/dataset/Operations/operations_1.txt,Operations
Evaluation/dataset/Operations/operations_2.txt,Operations
Evaluation/dataset/Operations/operations_3.txt,Operations
Evaluation/dataset/Operations/operations_4.txt,Operations
Evaluation/dataset/Operations/operations_5.txt,Operations
Evaluation/dataset/Operations/operations_6.txt,Operations
Evaluation/dataset/Operations/operations_7.txt,Operations
Evaluation/dataset/Operations/operations_8.txt,Operations
Evaluation/dataset/Operations/operations_9.txt,Operations
Evaluation/dataset/Operations/operations_10.txt,Operations
Evaluation/dataset/Operations/operations_11.txt,Operations
Evaluation/dataset/Operations/operations_12.txt,Operations
Evaluation/dataset/Operations/operations_13.txt,Operations
Evaluation/dataset/Operations/operations_14.txt,Operations
Evaluation/dataset/Operations/operations_15.txt,Operations
Evaluation/dataset/Engineering/engineering_1.txt,Engineering
Evaluation/dataset/Engineering/engineering_2.txt,Engineering
Evaluation/dataset/Engineering/engineering_3.txt,Engineering
Evaluation/dataset/Engineering/engineering_4.txt,Engineering
Evaluation/dataset/Engineering/engineering_5.txt,Engineering
Evaluation/dataset/Engineering/engineering_6.txt,Engineering
Evaluation/dataset/Engineering/engineering_7.txt,Engineering
Evaluation/dataset/Engineering/engineering_8.txt,Engineering
Evaluation/dataset/Engineering/engineering_9.txt,Engineering
Evaluation/dataset/Engineering/engineering_10.txt,Engineering
Evaluation/dataset/Engineering/engineering_11.txt,Engineering
Evaluation/dataset/Engineering/engineering_12.txt,Engineering
Evaluation/dataset/Engineering/engineering_13.txt,Engineering
Evaluation/dataset/Engineering/engineering_14.txt,Engineering
Evaluation/dataset/Engineering/engineering_15.txt,Engineering
